categoria,descrizione,valore,unita,note
materiale_telaio,"Legno duro (rovere, mogano, iroko) spessore mm 50",2.4,W/m².°K,
materiale_telaio,"Legno duro (rovere, mogano, iroko) spessore mm 60",2.2000000000000002,,
materiale_telaio,"Legno duro (rovere, mogano, iroko) spessore mm 70",2.1,,
materiale_telaio,"Legno tenero (pino,abete, larice, douglas, hemlock) mm 50",2,,
materiale_telaio,"Legno tenero (pino,abete, larice, douglas, hemlock) mm 60",1.9,,
materiale_telaio,"Legno tenero (pino,abete, larice, douglas, hemlock) mm 70",1.8,,
materiale_telaio,Pvc a due camere,2.2000000000000002,,
materiale_telaio,Pvc a tre camere,2,,
materiale_telaio,"Alluminio a taglio termico Uf = 3,8",3.8,,
materiale_telaio,"Alluminio a taglio termico Uf = 3,4",3.4,,
materiale_telaio,"Alluminio a taglio termico Uf = 3,0",3,,
materiale_telaio,"Alluminio a taglio termico Uf = 2,6",2.6,,
materiale_telaio,"Alluminio a taglio termico Uf = 2,2",2.2000000000000002,,
materiale_telaio,Alluminio senza taglio termico,7,,
vetratura,Vetrata singola,5.7,,
vetratura,Vetrata 4-6-4,3.3,,
vetratura,Vetrata 4-9-4,3.1,,
vetratura,Vetrata 4-12-4,2.9,,
percentuale_area_telaio,% dell’area di telaio rispetto all’area dell’intera finestra:,0.2,,
percentuale_area_telaio,% dell’area di telaio rispetto all’area dell’intera finestra:,0.3,,
schermatura_accessorio,nessuna,,,
schermatura_accessorio,avvolgibile di alluminio,,,
schermatura_accessorio,avvolgibile di legno e plastica senza schiuma,,,
schermatura_accessorio,avvogibile di legno e plastica con schiuma,,,
schermatura_accessorio,persiana di legno da 25 a 30 mm di spessore,,,
schermatura_accessorio,persiana di alluminio,,,
permeabilita_aria,nessun valore considerabile,,,
permeabilita_aria,molto elevata,,,
permeabilita_aria,elevata,,,
